,Region
327,"Retrosplenial area, dorsal part, layer 2/3"
328,"Retrosplenial area, dorsal part, layer 4"
329,"Retrosplenial area, dorsal part, layer 5"
330,"Retrosplenial area, dorsal part, layer 6a"
331,"Retrosplenial area, dorsal part, layer 6b"
332,"Retrosplenial area, ventral part"
333,"Retrosplenial area, ventral part, layer 1"
334,"Retrosplenial area, ventral part, layer 2"
335,"Retrosplenial area, ventral part, layer 2/3"
336,"Retrosplenial area, ventral part, layer 5"
337,"Retrosplenial area, ventral part, layer 6a"
338,"Retrosplenial area, ventral part, layer 6b"
339,Posterior parietal association areas
340,"Posterior parietal association areas, layer 1"
341,"Posterior parietal association areas, layer 2/3"
342,"Posterior parietal association areas, layer 4"
343,"Posterior parietal association areas, layer 5"
344,"Posterior parietal association areas, layer 6a"
345,"Posterior parietal association areas, layer 6b"
346,Anterior area
347,"Anterior area, layer 1"
348,"Anterior area, layer 2/3"
349,"Anterior area, layer 4"
350,"Anterior area, layer 5"
351,"Anterior area, layer 6a"
352,"Anterior area, layer 6b"
353,Rostrolateral visual area
354,"Rostrolateral area, layer 1"
355,"Rostrolateral area, layer 2/3"
356,"Rostrolateral area, layer 4"
357,"Rostrolateral area, layer 5"
358,"Rostrolateral area, layer 6a"
359,"Rostrolateral area, layer 6b"
360,Temporal association areas
361,"Temporal association areas, layer 1"
362,"Temporal association areas, layer 2/3"
363,"Temporal association areas, layer 4"
364,"Temporal association areas, layer 5"
365,"Temporal association areas, layer 6a"
366,"Temporal association areas, layer 6b"
367,Perirhinal area
368,"Perirhinal area, layer 1"
369,"Perirhinal area, layer 2/3"
370,"Perirhinal area, layer 5"
371,"Perirhinal area, layer 6a"
372,"Perirhinal area, layer 6b"
373,Ectorhinal area
374,Ectorhinal area/Layer 1
375,Ectorhinal area/Layer 2/3
376,Ectorhinal area/Layer 5
377,Ectorhinal area/Layer 6a
378,Ectorhinal area/Layer 6b
379,Olfactory areas
380,Main olfactory bulb
381,"Main olfactory bulb, glomerular layer"
382,"Main olfactory bulb, granule layer"
383,"Main olfactory bulb, inner plexiform layer"
384,"Main olfactory bulb, mitral layer"
385,"Main olfactory bulb, outer plexiform layer"
386,Accessory olfactory bulb
387,"Accessory olfactory bulb, glomerular layer"
388,"Accessory olfactory bulb, granular layer"
389,"Accessory olfactory bulb, mitral layer"
390,Anterior olfactory nucleus
391,"Anterior olfactory nucleus, dorsal part"
392,"Anterior olfactory nucleus, external part"
393,"Anterior olfactory nucleus, lateral part"
394,"Anterior olfactory nucleus, medial part"
395,"Anterior olfactory nucleus, posteroventral part"
396,"Anterior olfactory nucleus, layer 1"
397,"Anterior olfactory nucleus, layer 2"
398,Taenia tecta
399,"Taenia tecta, dorsal part"
400,"Taenia tecta, dorsal part, layers 1-4"
401,"Taenia tecta, dorsal part, layer 1"
402,"Taenia tecta, dorsal part, layer 2"
403,"Taenia tecta, dorsal part, layer 3"
404,"Taenia tecta, dorsal part, layer 4"
405,"Taenia tecta, ventral part"
406,"Taenia tecta, ventral part, layers 1-3"
407,"Taenia tecta, ventral part, layer 1"
408,"Taenia tecta, ventral part, layer 2"
409,"Taenia tecta, ventral part, layer 3"
410,Dorsal peduncular area
411,"Dorsal peduncular area, layer 1"
412,"Dorsal peduncular area, layer 2"
413,"Dorsal peduncular area, layer 2/3"
414,"Dorsal peduncular area, layer 5"
415,"Dorsal peduncular area, layer 6a"
416,Piriform area
417,"Piriform area, layers 1-3"
418,"Piriform area, molecular layer"
419,"Piriform area, pyramidal layer"
420,"Piriform area, polymorph layer"
421,Nucleus of the lateral olfactory tract
422,"Nucleus of the lateral olfactory tract, layers 1-3"
423,"Nucleus of the lateral olfactory tract, molecular layer"
424,"Nucleus of the lateral olfactory tract, pyramidal layer"
425,"Nucleus of the lateral olfactory tract, layer 3"
426,Cortical amygdalar area
427,"Cortical amygdalar area, anterior part"
428,"Cortical amygdalar area, anterior part, layer 1"
429,"Cortical amygdalar area, anterior part, layer 2"
430,"Cortical amygdalar area, anterior part, layer 3"
431,"Cortical amygdalar area, posterior part"
432,"Cortical amygdalar area, posterior part, lateral zone"
433,"Cortical amygdalar area, posterior part, lateral zone, layers 1-2"
434,"Cortical amygdalar area, posterior part, lateral zone, layers 1-3"
435,"Cortical amygdalar area, posterior part, lateral zone, layer 1"
436,"Cortical amygdalar area, posterior part, lateral zone, layer 2"
437,"Cortical amygdalar area, posterior part, lateral zone, layer 3"
438,"Cortical amygdalar area, posterior part, medial zone"
439,"Cortical amygdalar area, posterior part, medial zone, layers 1-2"
440,"Cortical amygdalar area, posterior part, medial zone, layers 1-3"
441,"Cortical amygdalar area, posterior part, medial zone, layer 1"
442,"Cortical amygdalar area, posterior part, medial zone, layer 2"
443,"Cortical amygdalar area, posterior part, medial zone, layer 3"
444,Piriform-amygdalar area
445,"Piriform-amygdalar area, layers 1-3"
446,"Piriform-amygdalar area, molecular layer"
447,"Piriform-amygdalar area, pyramidal layer"
448,"Piriform-amygdalar area, polymorph layer"
449,Postpiriform transition area
450,"Postpiriform transition area, layers 1-3"
451,"Postpiriform transition area, layers 1"
452,"Postpiriform transition area, layers 2"
453,"Postpiriform transition area, layers 3"
454,Hippocampal formation
455,Hippocampal region
456,Ammon's horn
457,Field CA1
458,"Field CA1, stratum lacunosum-moleculare"
459,"Field CA1, stratum oriens"
460,"Field CA1, pyramidal layer"
461,"Field CA1, stratum radiatum"
462,Field CA2
463,"Field CA2, stratum lacunosum-moleculare"
464,"Field CA2, stratum oriens"
465,"Field CA2, pyramidal layer"
466,"Field CA2, stratum radiatum"
467,Field CA3
468,"Field CA3, stratum lacunosum-moleculare"
469,"Field CA3, stratum lucidum"
470,"Field CA3, stratum oriens"
471,"Field CA3, pyramidal layer"
472,"Field CA3, stratum radiatum"
473,Dentate gyrus
474,"Dentate gyrus, molecular layer"
475,"Dentate gyrus, polymorph layer"
476,"Dentate gyrus, granule cell layer"
477,"Dentate gyrus, subgranular zone"
478,Dentate gyrus crest
479,"Dentate gyrus crest, molecular layer"
480,"Dentate gyrus crest, polymorph layer"
481,"Dentate gyrus crest, granule cell layer"
482,Dentate gyrus lateral blade
483,"Dentate gyrus lateral blade, molecular layer"
484,"Dentate gyrus lateral blade, polymorph layer"
485,"Dentate gyrus lateral blade, granule cell layer"
486,Dentate gyrus medial blade
487,"Dentate gyrus medial blade, molecular layer"
488,"Dentate gyrus medial blade, polymorph layer"
489,"Dentate gyrus medial blade, granule cell layer"
490,Fasciola cinerea
491,Induseum griseum
492,Retrohippocampal region
493,Entorhinal area
494,"Entorhinal area, lateral part"
495,"Entorhinal area, lateral part, layer 1"
496,"Entorhinal area, lateral part, layer 2"
497,"Entorhinal area, lateral part, layer 2/3"
498,"Entorhinal area, lateral part, layer 2a"
499,"Entorhinal area, lateral part, layer 2b"
500,"Entorhinal area, lateral part, layer 3"
501,"Entorhinal area, lateral part, layer 4"
502,"Entorhinal area, lateral part, layer 4/5"
503,"Entorhinal area, lateral part, layer 5"
504,"Entorhinal area, lateral part, layer 5/6"
505,"Entorhinal area, lateral part, layer 6a"
506,"Entorhinal area, lateral part, layer 6b"
507,"Entorhinal area, medial part, dorsal zone"
508,"Entorhinal area, medial part, dorsal zone, layer 1"
509,"Entorhinal area, medial part, dorsal zone, layer 2"
510,"Entorhinal area, medial part, dorsal zone, layer 2a"
511,"Entorhinal area, medial part, dorsal zone, layer 2b"
512,"Entorhinal area, medial part, dorsal zone, layer 3"
513,"Entorhinal area, medial part, dorsal zone, layer 4"
514,"Entorhinal area, medial part, dorsal zone, layer 5"
515,"Entorhinal area, medial part, dorsal zone, layer 5/6"
516,"Entorhinal area, medial part, dorsal zone, layer 6"
517,"Entorhinal area, medial part, ventral zone"
518,"Entorhinal area, medial part, ventral zone, layer 1"
519,"Entorhinal area, medial part, ventral zone, layer 2"
520,"Entorhinal area, medial part, ventral zone, layer 3"
521,"Entorhinal area, medial part, ventral zone, layer 4"
522,"Entorhinal area, medial part, ventral zone, layer 5/6"
523,Parasubiculum
524,"Parasubiculum, layer 1"
525,"Parasubiculum, layer 2"
526,"Parasubiculum, layer 3"
527,Postsubiculum
528,"Postsubiculum, layer 1"
529,"Postsubiculum, layer 2"
530,"Postsubiculum, layer 3"
531,Presubiculum
532,"Presubiculum, layer 1"
533,"Presubiculum, layer 2"
534,"Presubiculum, layer 3"
535,Subiculum
536,"Subiculum, dorsal part"
537,"Subiculum, dorsal part, molecular layer"
538,"Subiculum, dorsal part, pyramidal layer"
539,"Subiculum, dorsal part, stratum radiatum"
540,"Subiculum, ventral part"
541,"Subiculum, ventral part, molecular layer"
542,"Subiculum, ventral part, pyramidal layer"
543,"Subiculum, ventral part, stratum radiatum"
544,Prosubiculum
545,"Prosubiculum, dorsal part"
546,"Prosubiculum, dorsal part, molecular layer"
547,"Prosubiculum, dorsal part, pyramidal layer"
548,"Prosubiculum, dorsal part, stratum radiatum"
549,"Prosubiculum, ventral part"
550,"Prosubiculum, ventral part, molecular layer"
551,"Prosubiculum, ventral part, pyramidal layer"
552,"Prosubiculum, ventral part, stratum radiatum"
553,Hippocampo-amygdalar transition area
554,Area prostriata
555,Cortical subplate
556,"Layer 6b, isocortex"
557,Claustrum
558,Endopiriform nucleus
559,"Endopiriform nucleus, dorsal part"
560,"Endopiriform nucleus, ventral part"
561,Lateral amygdalar nucleus
562,Basolateral amygdalar nucleus
563,"Basolateral amygdalar nucleus, anterior part"
564,"Basolateral amygdalar nucleus, posterior part"
565,"Basolateral amygdalar nucleus, ventral part"
566,Basomedial amygdalar nucleus
567,"Basomedial amygdalar nucleus, anterior part"
568,"Basomedial amygdalar nucleus, posterior part"
569,Posterior amygdalar nucleus
570,Cerebral nuclei
571,Striatum
572,Striatum dorsal region
573,Caudoputamen
574,Striatum ventral region
575,Nucleus accumbens
576,Fundus of striatum
577,Olfactory tubercle
578,Islands of Calleja
579,Major island of Calleja
580,"Olfactory tubercle, layers 1-3"
581,"Olfactory tubercle, molecular layer"
582,"Olfactory tubercle, pyramidal layer"
583,"Olfactory tubercle, polymorph layer"
584,Lateral strip of striatum
585,Lateral septal complex
586,Lateral septal nucleus
587,"Lateral septal nucleus, caudal (caudodorsal) part"
588,"Lateral septal nucleus, rostral (rostroventral) part"
589,"Lateral septal nucleus, ventral part"
590,Septofimbrial nucleus
591,Septohippocampal nucleus
592,Striatum-like amygdalar nuclei
593,Anterior amygdalar area
594,Bed nucleus of the accessory olfactory tract
595,Central amygdalar nucleus
596,"Central amygdalar nucleus, capsular part"
597,"Central amygdalar nucleus, lateral part"
598,"Central amygdalar nucleus, medial part"
599,Intercalated amygdalar nucleus
600,Medial amygdalar nucleus
601,"Medial amygdalar nucleus, anterodorsal part"
602,"Medial amygdalar nucleus, anteroventral part"
603,"Medial amygdalar nucleus, posterodorsal part"
604,"Medial amygdalar nucleus, posterodorsal part, sublayer a"
605,"Medial amygdalar nucleus, posterodorsal part, sublayer b"
606,"Medial amygdalar nucleus, posterodorsal part, sublayer c"
607,"Medial amygdalar nucleus, posteroventral part"
608,Pallidum
609,"Pallidum, dorsal region"
610,"Globus pallidus, external segment"
611,"Globus pallidus, internal segment"
612,"Pallidum, ventral region"
613,Substantia innominata
614,Magnocellular nucleus
615,"Pallidum, medial region"
616,Medial septal complex
617,Medial septal nucleus
618,Diagonal band nucleus
619,Triangular nucleus of septum
620,"Pallidum, caudal region"
621,Bed nuclei of the stria terminalis
622,"Bed nuclei of the stria terminalis, anterior division"
623,"Bed nuclei of the stria terminalis, anterior division, anterolateral area"
624,"Bed nuclei of the stria terminalis, anterior division, anteromedial area"
625,"Bed nuclei of the stria terminalis, anterior division, dorsomedial nucleus"
626,"Bed nuclei of the stria terminalis, anterior division, fusiform nucleus"
627,"Bed nuclei of the stria terminalis, anterior division, juxtacapsular nucleus"
628,"Bed nuclei of the stria terminalis, anterior division, magnocellular nucleus"
629,"Bed nuclei of the stria terminalis, anterior division, oval nucleus"
630,"Bed nuclei of the stria terminalis, anterior division, rhomboid nucleus"
631,"Bed nuclei of the stria terminalis, anterior division, ventral nucleus"
632,"Bed nuclei of the stria terminalis, posterior division"
633,"Bed nuclei of the stria terminalis, posterior division, dorsal nucleus"
634,"Bed nuclei of the stria terminalis, posterior division, principal nucleus"
635,"Bed nuclei of the stria terminalis, posterior division, interfascicular nucleus"
636,"Bed nuclei of the stria terminalis, posterior division, transverse nucleus"
637,"Bed nuclei of the stria terminalis, posterior division, strial extension"
638,Bed nucleus of the anterior commissure
639,Brain stem
640,Interbrain
641,Thalamus
642,"Thalamus, sensory-motor cortex related"
643,Ventral group of the dorsal thalamus
644,Ventral anterior-lateral complex of the thalamus
645,Ventral medial nucleus of the thalamus
646,Ventral posterior complex of the thalamus
647,Ventral posterolateral nucleus of the thalamus
